josé mourinho	mourinho
594870004694315008	RT @Fant3: Parabéns ao Chelsea e a José Mourinho.	42848971
594869185186025472	Congratulations Chelsea!!!!  José Mourinho really the special one!	50982663
594870605381513216	José Mourinho nasceu para ser o que é: um campeão.	82381798
594872610053292032	RT @SilviaGuedes: Congratulations, José Mourinho.  https://t.co/t7c2ahiE0g	1889832038
594875026391859200	@GreggRobertson5 Remember, shout José Mourinho for me too ✌🏻	63549526
593022552697475072	[Record] O "Deus" José Mourinho http://t.co/vPT9wvPiN3 #desporto	485975606
592435715692191744	José Mourinho ao seu melhor estilo!  http://t.co/SzaFDUUh6l	19674853
593368086570471424	:.: O "Deus" José Mourinho - offside - Jornal Record :.: http://t.co/tZDiK9HYKL	19784606
593485033278668800	[RTP Noticias] Gael Clichy elogia José Mourinho http://t.co/ZG0lRTZcjt	485975606
594092575063220224	RT @RobrafM: @SkyFootball the same jose mourinho he pushed? #hypocrite	138819615
594125398495121408	Arsène Wenger exige respeito a José Mourinho  http://t.co/r2VfDLAnmJ	17306424
596690245011296257	RT @Gerrard8FanPage: Jose Mourinho on Steven Gerrard.  http://t.co/Pwswqq84Aj	81255378
587967095263985665	José Mourinho quer ter Gaitán em Londres http://t.co/KJglg4AzoO	447397227
592038755621535744	Chelsea's Jose Mourinho plays press officer prank http://t.co/3uVW1lJ2Ny	38732601
597366311203840002	José Mourinho, primeiro-ministro do Reino Unido? http://t.co/5BPaBsbPco	8976052
598520131187159040	José Mourinho: Pai internado outra vez http://t.co/QNoK0aDb1V	97637425
596964227291688960	RT @esttoper: José Mourinho, sobre Leo Messi. http://t.co/WXmlrjYYbc	16349463
596727638170927104	ALBARQUEL E AVENIDA JOSÉ MOURINHO BLOQUEADAS AMANHÃ http://t.co/LFix8ABMTw	31140929
596729848661299200	[Record] Os elogios de José Mourinho http://t.co/IAvIpbcuaK #desporto	485975606
609475178775449600	[AutoPortal] José Mourinho sem carta de condução http://t.co/BFkCzm9pXW	485975606
608609663995768832	RT @tomgunner14: Jose Mourinho on #Arsenal..... http://t.co/zRqivm0rEv	182829291
608974727764320257	José Mourinho: Está impedido de conduzir http://t.co/Lu8eKtQeMx	97637425
608979796555649024	José Mourinho ficou sem carta de condução http://t.co/6npY0H1xce	26276346
632105447017701376	[Correio da Manhã] José Mourinho insulta médica http://t.co/RyWdCHdyst	485975606
628959878883770368	José Mourinho vs Paulo Sousa #ICC2015 #sporttv http://t.co/rURrXOixjt	40019154
634845026279911424	RT @Mourinholic: Pedro and Jose Mourinho. #cfc http://t.co/uEgpe8nlLX	45688211
636935931279331328	@FCPorto  vs José Mourinho :D ate os comemos	3448433115
616434448402231296	[Sábado] Cech não esquece José Mourinho http://t.co/kWays3cZ4M	485975606
616432932132098048	Inglaterra - Cech não esquece José Mourinho http://t.co/GU4zafSclv	19663485
616865722292137984	Offside - Conselhos de Sua Santidade... José Mourinho http://t.co/WeQFAGzNlT	19663485
616976960409878528	Oficial: Falcao é reforço para José Mourinho http://t.co/MoVolCxpMV	229821499
621300116222275585	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	518893226
621297724923768832	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	500904620
621305299643797508	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	22161429
621305310641291264	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	186525972
621262504291774464	Trânsito: Avenida José Mourinho – Biatle http://t.co/Me94rWPWL1	115643097
624206651109670912	Uiiii o mister José Mourinho tem pézinhos! http://t.co/ldjzZxxryK	69700859
627870930971328512	Petr Cech is laughing; Jose Mourinho is crying.	45979353
628252340517216256	Veja o que fez José Mourinho :O http://t.co/tZ6NL5lPU5	69700859
609285778032717824	"Jose Mourinho banned from driving" típico tuga! :) http://t.co/WxlWAXaLQL	12924692
609316581609447424	José Mourinho ficou sem carta de condução http://t.co/snxWQLSY1k	17084327
609331854521450496	[AutoPortal] José Mourinho sem carta de condução http://t.co/OT0X3foOWH	485975606
