meo	2014-10-03	210	vez hoje 
cristiano_ronaldo	2014-07-15	91	cristiano 
sic	2014-03-09	49	video tudo 
espanha	2015-06-12	199	sempre ainda agora 
bes	2015-10-20	65	espirito santo diz noticias 
paulo_bento	2015-09-16	122	bento joao vitoria pinto sobre paulo 
partido_social_democrata	2014-07-18	402	ps 
jeronimo_sousa	2014-07-19	316	jeronimo hoje ainda sousa 
marcelo_rebelo_sousa	2014-03-03	286	rebelo marcelo sousa 
cristiano_ronaldo	2014-10-04	212	cristiano 
passos_coelho	2014-03-20	233	coelho passos 
passos_coelho	2014-04-03	5	anos coelho passos 
publico	2014-09-25	118	tao pais pode diz costa 
vladimir_putin	2015-09-01	10	el la 
futebol_porto	2015-08-22	20	futebol es grande porto 
alemanha	2014-03-12	161	es hoje 
espanha	2015-03-03	51	tao ano la 
passos_coelho	2015-02-24	105	coelho passos 
nos	2015-06-01	39	dia 
continente	2014-06-01	159	ir 
pingo_doce	2014-09-25	119	pingo sempre anos 
paris	2014-09-05	2	amp 
julen_lopetegui	2015-06-13	221	jesus 
apple	2015-02-20	143	video noticias vai 
cristiano_ronaldo	2014-08-05	26	cristiano 
antonio_costa	2015-03-10	135	dizer quer antonio paulo costa 
portugal	2014-01-09	378	dia 
cristiano_ronaldo	2015-05-03	442	es en el la cristiano 
paulo_portas	2014-05-08	125	quer portas paulo 
rui_vitoria	2014-01-02	202	mendes vitoria rui desporto 
passos_coelho	2014-03-05	153	pais coelho diz passos 
madeira	2014-09-14	117	hoje 
partido_popular	2014-06-02	321	del en el 
espanha	2015-11-30	27	la portugal 
nos	2015-03-11	347	jornal vou contra 
pingo_doce	2015-10-29	69	ir pingo porque 
jorge_mendes	2015-03-05	354	mendes grande el la jorge cristiano 
galp	2014-10-12	402	sempre 
partido_popular	2014-07-30	27	del el la 
sporting	2015-01-31	42	fcporto porto 
bruno_de_carvalho	2015-04-14	107	presidente bruno carvalho 
dn	2015-07-18	97	ano diario noticias 
futebol_porto	2014-12-29	188	sporting grande 
porto	2015-03-24	298	melhor 
bruno_de_carvalho	2015-08-08	9	vitoria rui bruno carvalho jesus jorge 
jorge_jesus	2014-11-26	9	jesus jorge 
londres	2015-11-03	370	portugal 
rui_vitoria	2015-09-28	66	vitoria rui carregabenfica costa 
cavaco_silva	2014-04-04	23	silva sobre 
futebol_porto	2014-06-03	152	portas ver vai la 
italia	2015-01-25	11	vai portugal 
antonio_costa	2014-07-13	167	governo antonio costa 
jose_socrates	2015-10-09	87	ps portas melhor ver agora diz 
madrid	2014-08-05	8	del el cristiano 
julen_lopetegui	2014-06-30	45	fcporto 
