paulo_bento,2014-08-25,fonte,rui,grupo,fdesempregado,preconvocados,bebe,ruben,amorim,tiago,carregabenfica,andre,almeida,mundial,cometeu,pagou,demasiado,nele,mantem,renovacao,erros
passos_coelho,2014-03-29,socrates,rodrigues,barroso,espero,limites,santos,limpa,daniel,diogocmoreira,oliveira,fez,unico,ver,merkel,neste,minuto,via,sonhos,manifesto,exactamente
passos_coelho,2015-03-01,seguranca,mota,social,angelo,soares,jogo,pagou,demonstrar,ano,davidscris,existe,dividas,vitima,aqui,cinco,27,erros,processos,durante,financas
passos_coelho,2014-03-18,merkel,angela,tomar,decisao,portugal,encontro,pedromoreiratvi,qualquer,hoje,almoco,caro,saida,chegou,tiagoant,pedro,postroika,recorda,primeiroministro,rcostaexpresso,seguro
passos_coelho,2015-10-09,raminhoseffect,horas,acordo,jogar,costa,antonio,pr,encontrar,apresenta,proposta,solucao,ps,qualquer,governo,mandato,votaram,nisto,issodepende,indigitado,pessoas
passos_coelho,2015-07-02,carro,junto,mal,tal,cumpriu,cenario,prometeu,qdo,podiam,durao,barroso,tvi24ultimas,pm,grecia,pedro,vao,candidatura,ricciardi,humor,comissario
passos_coelho,2014-04-01,abril,hoje,anos,faz,mentira,garantiu,disparate,subsidios,pedrosales,cortar,escola,davidscris,gt,aviao,emigrar,disse,irrevogavel,pauloabreu4,pai,resposta
passos_coelho,2015-01-17,lima,youtube,sabia,2011,pires,parlamento,video,tou,adicionei,paris,margvs,epa,cabrao,gostei,mel,outubro,irs,amp,via,mete
paulo_bento,2014-05-04,falhar,cavaleiro,sentido,ivan,faz,tiago,nani,podia,mundial2014,presenca,rpoliveira,ai,seleccao,recordportugal,mundial,falar,convocar,honra,posicao,liga
paulo_bento,2014-10-12,ronaldo,trabalhar,selecoes,falam,entrou,cristiano,saida,tema,zecarlossa,recordportugal,sapodesporto,culpas,culpado,interesse,brilhante,sequer,todos,vencer,mourinho,demais
passos_coelho,2015-02-22,sergio,syriza,deixar,marco,dados,dentes,leve,atitude,investimento,antonio,curioso,costa,quantos,angela,boca,mentir,declaracoes,europa,portas,merkel
paulo_bento,2014-12-23,accao,calma,leaodealvalade,saiu,comentario,sa,tap,pinto,conselho,marco,podem,ficar,tal,durante,treinador,sporting,anda,ai,ano,video
paulo_bento,2014-09-02,carlos,moutinho,fcportoworld,joao,sporting,fa,treino,freitas,pepe,bancadadeleao,soares,primeiro,principal,responsavel,william,jogador,captomente,unico,continuar,selecao
paulo_bento,2014-07-25,bebe,setembro,andre,convocado,josedepina,jogos,novidade,martins,ver,parabens,convocatoria,exemplo,suceder,vieirinha,logica,principal,desculpas,medida,convocados,diferente
passos_coelho,2015-03-09,apanhar,contribuintes,ajudar,passar,ferias,tsipras,2012,grecia,seguranca,estado,social,ultima,vai,visitou,hora,feira,pedro,pm,inimigo,imediata
paulo_bento,2015-10-22,odedonafrida,marcou,hipoteses,idesporto,sucesso,pai,pouco,treinador
paulo_bento,2014-05-26,ronaldo,cristiano,principal,brasil,moutinho,chama,risco,rtp,meio,treino,chamada,joao,sul,rio,faz,nome,fcportoworld,noticias,jose,miudo
paulo_bento,2015-10-11,albania,100,record,santos,fcportoworld,fernando,enfim,lfrancobastos,pessoa,seleccao,falar,rtp,tanta,fizeram,gente,fez
passos_coelho,2014-04-26,percebe,pouco,economia
passos_coelho,2014-05-22,divida,publica,sergiolavos,socrates,recorde,bater,acaba,jppir,elogios,roubar,vasco,genio,mudanca,necessidade,queres,promete,malta,senhor,ve,outros
paulo_bento,2014-12-18,edmapi,padaoesilva,melgamike,penteado,especie,forca,afn1982,vir,gosto,gajo,sporting,coisas,ai,lol,sempre,falar
passos_coelho,2014-03-22,fundos,rasparg,estado,negocios,derterrorist,funcionarios,cc,danielolivalx,publicos,sabem,portanto,mulher,pfl1976,futuro,lol,falar,la,bem,agora
passos_coelho,2014-01-10,conheco,fernando,sentido,estado,ninguem,psd,pode,primeiroministro,tudo,vai,proximas,pedro,comentarios,ouvi,fazer,bem,legislativas,extremamente,bom,provar
paulo_bento,2014-10-18,lopetegui,zecarlossa,penteado,carreira,sorte,twitter,quaresma,agora,sub21,primeiro,coincidencia,assistir,filme,barbosa,fcp,josedepina,podera,versao,11,umas
passos_coelho,2014-12-20,acabou,conforto,resto,zona,natal,loureiro,receber,sabemos,tap,marques,relvas,sergiolavos,passar,todo,mendes,dias,menos,porque,portas,governo
paulo_bento,2014-01-12,daqueles,quantos,convocar,vidademigalhas,homem,mundial,ver,pode,marcou,milhares,presenca,pessoas,hoje
passos_coelho,2014-06-01,carneiro,sa,eleicoes,joaoporto1971,demite,fugir,livro,feira,lisboa,interessante,diria,jornalista,marcelo,joaomiranda,ouvir,itwitting,fcancio,seguro,brunobgarcia1,area
passos_coelho,2014-11-02,seccao,continua,designerferro,gt,ler,melhor,cabral,membros,vejam,pedem,coragem,acores,orcamento,corporacoes,escola,elogia,tentar,quanto,defende,neste
passos_coelho,2015-08-19,devem,concordo,mostrar,resultado,eleicoes,estadista,serviu,criou,ong,qq,faco,24,viva,coragem,portugueses,coimbra,senhora,resgate,sabia,tvi
paulo_bento,2015-11-19,olha,edmapi,valete,homenagem,alem,gajo,tipo,fim,video,faz
passos_coelho,2014-07-23,central,assumir,papel,europeia,economia,cavaco,cimeira,cada,albuquerque,deve,governantes,silva,vez,maria,luis,minister,prime,portugals,senhores,jnegocios
paulo_bento,2014-07-15,demitese,campeonato,norte,perder,final,mundo,futebol,ultima,hora,scolari,eheheh,prefere,conversa,selecao,ir,dar,bom,faltam,forever,levantar
passos_coelho,2015-03-28,subir,eleicoes,diz,espera,tirar,observadorpt,paulo,sol,bossito,fisco,mandato,cumprir,portanto,portas,historico,actualidade,coligacao,convencido,sair,alunos
