luis_figo,2015-10-31,carvalho,portugal,diz,pinto,bruno,la,silva,pingo,jose,en
sporting,2015-03-31,martins,cristiano,agora,ver,video,tao,ano,sousa,grande,sporting
vodafone,2014-04-14,jorge,vai,video,ronaldo,el,coelho,aqui,fcportoworld,diz,costa
partido_socialista,2014-01-07,governo,ver,fcportoworld,ano,pingo,sempre,joao,tudo,tao,el
edp,2014-07-19,bruno,futebol,porto,martins,tao,sporting,lisboa,jeronimo,grande,dizer
lisboa,2015-02-02,benfica,rui,ano,ronaldo,sousa,sporting,presidente,vitoria,del,grande
galp,2015-09-30,fcportoworld,catarina,bento,porque,vez,noticias,sobre,jorge,vai,jesus
bruno_de_carvalho,2015-03-10,sobre,pingo,doce,bruno,desporto,real,vez,diz,agora,jornal
iker_casillas,2014-09-01,presidente,rebelo,portas,hoje,noticias,diario,doce,antonio,sobre,marcelo
jorge_jesus,2015-06-12,rebelo,melhor,novo,rui,diz,es,marcelo,jeronimo,passos,jose
correio_manha,2015-11-12,rui,silva,joao,contra,rebelo,diario,espirito,sobre,dizer,costa
madeira,2014-06-25,ps,pingo,lisboa,jeronimo,desporto,silva,fcporto,joao,ano,catarina
publico,2015-05-05,en,sobre,benfica,tao,novo,silva,bem,pode,marcelo,carregabenfica
bes,2015-03-23,es,amp,silva,carvalho,antonio,diario,ronaldo,ps,martins,sobre
alentejo,2014-11-03,diz,diario,pingo,marcelo,portugal,amp,jorge,aqui,fcportoworld,es
bloco_esquerda,2014-01-21,espirito,rebelo,la,fazer,jogo,melhor,ver,quer,noticias,real
lisboa,2015-06-04,jesus,pinto,carvalho,noticias,vez,pode,anos,lisboa,vou,dia
futebol_porto,2014-06-23,portas,contra,coelho,marcelo,rui,fazer,sobre,joao,grande,real
partido_popular,2015-08-21,grande,lisboa,antonio,video,portas,pinto,desporto,paulo,fcporto,ano
paulo_portas,2014-06-10,martins,pais,bruno,catarina,quer,en,portas,silva,contra,fcporto
jose_socrates,2015-09-10,cristiano,jornal,video,ainda,sousa,antonio,nada,lisboa,ver,pinto
paris,2014-12-15,marcelo,carvalho,vitoria,pingo,porto,porque,ano,grande,nada,es
algarve,2014-05-06,sousa,carregabenfica,paulo,es,contra,aqui,del,dia,pinto,vou
meo,2015-04-08,mendes,carvalho,dia,hoje,espirito,porto,jesus,contra,pingo,anos
iker_casillas,2015-08-09,presidente,ainda,jorge,espirito,futebol,sporting,ano,santo,pingo,es
jorge_mendes,2014-04-17,jornal,novo,martins,porque,governo,noticias,es,vai,video,real
partido_socialista,2015-01-31,portas,catarina,amp,rebelo,sporting,fazer,vou,nada,pingo,pinto
partido_social_democrata,2014-05-24,espirito,sporting,doce,quer,vou,sempre,diario,paulo,lisboa,bem
sic,2014-01-10,vai,sousa,bruno,jeronimo,vitoria,del,es,dia,marcelo,anos
marcelo_rebelo_sousa,2014-05-27,portas,sempre,melhor,tudo,vai,marcelo,vitoria,pinto,mendes,diz
jorge_mendes,2015-09-13,fcportoworld,joao,anos,jorge,es,rui,hoje,carvalho,sobre,la
benfica,2014-11-24,tao,santo,jesus,sempre,passos,anos,del,mendes,ano,noticias
tvi,2015-04-24,mundo,es,tao,joao,portas,santo,rebelo,jogo,nada,ver
catarina_martins,2014-02-10,cristiano,espirito,joao,sousa,mundo,amp,ainda,vitoria,sporting,pais
partido_social_democrata,2015-04-06,agora,sousa,mendes,ainda,vai,benfica,ver,en,amp,video
vodafone,2015-03-13,ronaldo,rebelo,porto,rui,vitoria,noticias,hoje,martins,anos,espirito
paulo_portas,2015-02-25,carvalho,jose,ps,melhor,ano,la,presidente,todos,el,vou
meo,2014-12-05,bruno,marcelo,fcportoworld,passos,cristiano,espirito,bem,novo,portugal,bento
joao_moutinho,2015-10-05,porto,rui,vez,melhor,amp,ps,ronaldo,sporting,grande,dia
luis_figo,2014-09-05,la,porque,silva,noticias,jesus,vou,grande,rebelo,jorge,portas
galp,2014-01-30,governo,quer,dizer,grande,todos,fazer,sempre,bruno,cristiano,sporting
catarina_martins,2015-01-29,contra,sporting,bem,tudo,todos,rui,el,ainda,mendes,ano
jose_socrates,2015-07-03,bento,ainda,el,rui,bruno,pinto,es,pode,antonio,fcportoworld
iker_casillas,2015-11-19,quer,portas,ps,todos,noticias,desporto,el,jorge,bento,pode
